严重性	代码	说明	项目	文件	行	抑制状态
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	67	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	70	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	86	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	217	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	218	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	227	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	271	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	273	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	284	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	324	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	325	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	352	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	14	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	30	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	31	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	80	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	89	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	101	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	110	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	114	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	123	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	127	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	135	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	165	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	167	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	182	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	218	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	230	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	230	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	230	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	230	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	230	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	244	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	253	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	254	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	255	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	256	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	257	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	258	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	265	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	272	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	274	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	275	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	15	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	27	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	48	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	52	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	71	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	119	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	122	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	126	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	127	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	179	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	199	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	216	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	222	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	223	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	224	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	14	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	26	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	53	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	61	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	66	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	72	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	77	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	78	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	92	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	107	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	108	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	80	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	82	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	84	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	94	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	97	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	105	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	108	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	116	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	125	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	126	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	165	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	166	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	167	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	171	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	174	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	175	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	190	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	191	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	192	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	210	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	211	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	279	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	280	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	288	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	289	
消息(活动)	IDE0305	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	289	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	290	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	290	
消息(活动)	IDE0305	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	291	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	304	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	305	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	313	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	314	
消息(活动)	IDE0305	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	314	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	315	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	315	
消息(活动)	IDE0305	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	316	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	329	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	330	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	338	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	339	
消息(活动)	IDE0305	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	339	
消息(活动)	IDE0305	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	341	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	67	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	90	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	93	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	149	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	155	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	160	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	160	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	160	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	164	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	168	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	174	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	176	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	182	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	188	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	193	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	193	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	193	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	193	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	195	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	195	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	195	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	195	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	202	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	205	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	208	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	214	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	216	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	224	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\SettingsPanel\SettingsPanelProvider.cs	43	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\SettingsPanel\SettingsPanelProvider.cs	51	
